NO	Lat	Location	Lon	Pl
291	25.02928	台北盆地	121.5659	0
292	25.02952	台北盆地	121.5659	0
293	25.02953	台北盆地	121.5659	0
294	25.0842	台北盆地	121.5661	0
295	25.02895	台北盆地	121.5661	0
296	25.02895	台北盆地	121.5661	0
297	25.02928	台北盆地	121.5662	0
298	25.02928	台北盆地	121.5662	0
299	25.02895	台北盆地	121.5664	0
300	25.02895	台北盆地	121.5664	0
301	25.02866	台北盆地	121.5665	0
302	25.02866	台北盆地	121.5665	0
303	25.0823	台北盆地	121.5668	0
304	25.03269	台北盆地	121.5681	0
305	25.033	台北盆地	121.5689	0
306	25.03298	台北盆地	121.5692	0
307	25.033	台北盆地	121.5694	0
308	25.03263	台北盆地	121.5697	0
309	25.03299	台北盆地	121.5697	0
310	25.03294	台北盆地	121.5705	0
311	25.08159	台北盆地	121.571	0
312	25.08146	台北盆地	121.5714	0
313	25.08125	台北盆地	121.5721	0
314	25.04976	台北盆地	121.5723	0
315	25.03322	台北盆地	121.5734	0
316	25.08037	台北盆地	121.5739	0
317	25.03416	台北盆地	121.5755	0
318	25.0799	台北盆地	121.5759	0
319	25.07975	台北盆地	121.5764	0
320	25.03498	台北盆地	121.5766	0
321	25.07754	台北盆地	121.5771	0
322	25.07774	台北盆地	121.5771	0
323	25.07793	台北盆地	121.5771	0
324	25.07773	台北盆地	121.5776	0
325	25.03601	台北盆地	121.578	0
326	25.07877	台北盆地	121.5781	0
327	25.07919	台北盆地	121.5792	0
328	25.03659	台北盆地	121.5799	0
329	25.03781	台北盆地	121.5802	0
330	25.03761	台北盆地	121.5803	0
331	25.03725	台北盆地	121.5803	0
332	25.03784	台北盆地	121.5804	0
333	25.03784	台北盆地	121.5805	0
334	25.03713	台北盆地	121.5805	0
335	25.03763	台北盆地	121.5806	0
336	25.03715	台北盆地	121.5807	0
337	25.03727	台北盆地	121.5807	0
338	25.03741	台北盆地	121.5807	0
339	25.03783	台北盆地	121.5807	0
340	25.06691	台北盆地	121.5845	0
341	25.03851	台北盆地	121.585	0
342	25.07869	台北盆地	121.5881	0
343	25.06119	台北盆地	121.5887	0
344	25.0652	台北盆地	121.5901	0
345	25.04607	台北盆地	121.5948	0
346	25.05205	台北盆地	121.6048	0
347	25.0522	台北盆地	121.6067	0
348	25.06854	台北盆地	121.6154	0
349	25.06789	台北盆地	121.6174	0
350	25.06178	台北盆地	121.6182	0
351	25.05874	台北盆地	121.6203	0
352	24.99271	台北盆地	121.4248	0.01
353	25.02605	台北盆地	121.4822	0.01
354	24.98281	台北盆地	121.5407	0.01
355	25.00811	台北盆地	121.4595	0.02
356	24.98344	台北盆地	121.4699	0.03
357	25.02465	台北盆地	121.5088	0.03
358	25.02079	台北盆地	121.486	0.04
359	25.00106	台北盆地	121.5093	0.04
360	25.01364	台北盆地	121.4185	0.06
361	25.03325	台北盆地	121.433	0.06
362	25.02268	台北盆地	121.4769	0.06
363	25.06237	台北盆地	121.5319	0.06
364	25.03385	台北盆地	121.5747	0.06
365	25.05839	台北盆地	121.5835	0.06
366	24.97846	台北盆地	121.5505	0.08
367	25.06084	台北盆地	121.6109	0.09
368	25.03433	台北盆地	121.5757	0.1
369	25.01299	台北盆地	121.4189	0.11
370	25.05697	台北盆地	121.4534	0.12
371	24.98042	台北盆地	121.4277	0.13
372	24.99764	台北盆地	121.5043	0.13
373	25.01965	台北盆地	121.4863	0.14
374	25.00971	台北盆地	121.5006	0.16
375	25.05828	台北盆地	121.6216	0.16
376	25.09486	台北盆地	121.497	0.17
